,estacion,concentracion,dt
3988,48,5.0,2019-04-03 04:00:00
4017,24,6.0,2019-04-03 04:00:00
4025,38,9.0,2019-04-03 04:00:00
4030,47,9.0,2019-04-03 05:00:00
4039,8,11.0,2019-04-03 05:00:00
4044,24,6.0,2019-04-03 05:00:00
4048,48,7.0,2019-04-03 05:00:00
4078,50,9.0,2019-04-03 05:00:00
4079,38,10.0,2019-04-03 05:00:00
4117,48,9.0,2019-04-03 06:00:00
4119,47,10.0,2019-04-03 06:00:00
4142,38,9.0,2019-04-03 06:00:00
4146,50,9.0,2019-04-03 06:00:00
4147,24,8.0,2019-04-03 06:00:00
4160,8,19.0,2019-04-03 06:00:00
4196,48,10.0,2019-04-03 07:00:00
4198,38,7.0,2019-04-03 07:00:00
4221,50,8.0,2019-04-03 07:00:00
4222,24,10.0,2019-04-03 07:00:00
4243,8,16.0,2019-04-03 07:00:00
4247,47,8.0,2019-04-03 07:00:00
4281,38,10.0,2019-04-03 08:00:00
4296,47,14.0,2019-04-03 08:00:00
4299,48,9.0,2019-04-03 08:00:00
4317,8,14.0,2019-04-03 08:00:00
4319,50,15.0,2019-04-03 08:00:00
4329,24,11.0,2019-04-03 08:00:00
4337,48,15.0,2019-04-03 09:00:00
4341,8,14.0,2019-04-03 09:00:00
4344,47,22.0,2019-04-03 09:00:00
4349,38,15.0,2019-04-03 09:00:00
4374,50,17.0,2019-04-03 09:00:00
4380,24,12.0,2019-04-03 09:00:00
4408,8,16.0,2019-04-03 10:00:00
4424,47,18.0,2019-04-03 10:00:00
4431,50,18.0,2019-04-03 10:00:00
4451,48,16.0,2019-04-03 10:00:00
4464,38,17.0,2019-04-03 10:00:00
4482,24,13.0,2019-04-03 10:00:00
4484,38,18.0,2019-04-03 11:00:00
4496,50,15.0,2019-04-03 11:00:00
4498,47,16.0,2019-04-03 11:00:00
4499,48,14.0,2019-04-03 11:00:00
4525,8,14.0,2019-04-03 11:00:00
4558,24,14.0,2019-04-03 11:00:00
4567,24,1.0,2019-04-03 12:00:00
4598,50,16.0,2019-04-03 12:00:00
4599,48,12.0,2019-04-03 12:00:00
4604,8,12.0,2019-04-03 12:00:00
4625,47,15.0,2019-04-03 12:00:00
4630,38,17.0,2019-04-03 12:00:00
4645,38,13.0,2019-04-03 13:00:00
4648,8,19.0,2019-04-03 13:00:00
4659,50,17.0,2019-04-03 13:00:00
4674,48,13.0,2019-04-03 13:00:00
4675,24,4.0,2019-04-03 13:00:00
4687,47,14.0,2019-04-03 13:00:00
4724,38,10.0,2019-04-03 14:00:00
4732,50,14.0,2019-04-03 14:00:00
4736,24,10.0,2019-04-03 14:00:00
4739,47,10.0,2019-04-03 14:00:00
4746,8,11.0,2019-04-03 14:00:00
4760,48,15.0,2019-04-03 14:00:00
4815,50,4.0,2019-04-03 15:00:00
4819,8,7.0,2019-04-03 15:00:00
4830,47,7.0,2019-04-03 15:00:00
4844,48,14.0,2019-04-03 15:00:00
4846,24,8.0,2019-04-03 15:00:00
4857,38,10.0,2019-04-03 15:00:00
4869,50,6.0,2019-04-03 16:00:00
4899,8,14.0,2019-04-03 16:00:00
4906,48,12.0,2019-04-03 16:00:00
4910,38,8.0,2019-04-03 16:00:00
4916,24,5.0,2019-04-03 16:00:00
4921,47,4.0,2019-04-03 16:00:00
4941,38,5.0,2019-04-03 17:00:00
4976,47,5.0,2019-04-03 17:00:00
4981,48,6.0,2019-04-03 17:00:00
4990,8,6.0,2019-04-03 17:00:00
4995,24,4.0,2019-04-03 17:00:00
5002,50,6.0,2019-04-03 17:00:00
5016,47,5.0,2019-04-03 18:00:00
5025,8,5.0,2019-04-03 18:00:00
5052,24,3.0,2019-04-03 18:00:00
5058,48,3.0,2019-04-03 18:00:00
5071,50,6.0,2019-04-03 18:00:00
5072,38,2.0,2019-04-03 18:00:00
5106,8,5.0,2019-04-03 19:00:00
5114,48,2.0,2019-04-03 19:00:00
