,estacion,concentracion,dt
1673,18,12.0,2019-04-01 22:00:00
1678,24,6.0,2019-04-01 22:00:00
1681,57,14.0,2019-04-01 22:00:00
1687,60,13.0,2019-04-01 22:00:00
1688,36,34.0,2019-04-01 22:00:00
1695,38,14.0,2019-04-01 22:00:00
1715,8,33.0,2019-04-01 22:00:00
1728,50,17.0,2019-04-01 22:00:00
1731,48,13.0,2019-04-01 22:00:00
1732,47,6.0,2019-04-01 22:00:00
1737,40,14.0,2019-04-01 22:00:00
1746,55,16.0,2019-04-01 22:00:00
1748,36,23.0,2019-04-01 23:00:00
1754,24,7.0,2019-04-01 23:00:00
1757,57,18.0,2019-04-01 23:00:00
1768,38,15.0,2019-04-01 23:00:00
1772,18,23.0,2019-04-01 23:00:00
1780,47,10.0,2019-04-01 23:00:00
1791,48,19.0,2019-04-01 23:00:00
1806,8,28.0,2019-04-01 23:00:00
1809,60,14.0,2019-04-01 23:00:00
1811,55,21.0,2019-04-01 23:00:00
1817,50,19.0,2019-04-01 23:00:00
1821,40,22.0,2019-04-01 23:00:00
1826,40,9.0,2019-04-02 00:00:00
1843,18,10.0,2019-04-02 00:00:00
1844,38,15.0,2019-04-02 00:00:00
1848,8,20.0,2019-04-02 00:00:00
1850,47,8.0,2019-04-02 00:00:00
1852,55,24.0,2019-04-02 00:00:00
1880,57,5.0,2019-04-02 00:00:00
1882,48,15.0,2019-04-02 00:00:00
1885,36,22.0,2019-04-02 00:00:00
1887,24,2.0,2019-04-02 00:00:00
1894,50,19.0,2019-04-02 00:00:00
1897,60,5.0,2019-04-02 00:00:00
1903,24,1.0,2019-04-02 01:00:00
1905,40,19.0,2019-04-02 01:00:00
1908,60,23.0,2019-04-02 01:00:00
1909,55,19.0,2019-04-02 01:00:00
1912,18,6.0,2019-04-02 01:00:00
1936,50,12.0,2019-04-02 01:00:00
1951,47,6.0,2019-04-02 01:00:00
1955,36,10.0,2019-04-02 01:00:00
1957,38,13.0,2019-04-02 01:00:00
1960,57,6.0,2019-04-02 01:00:00
1961,8,7.0,2019-04-02 01:00:00
1963,48,8.0,2019-04-02 01:00:00
1982,57,14.0,2019-04-02 02:00:00
1996,36,13.0,2019-04-02 02:00:00
1999,60,1.0,2019-04-02 02:00:00
2003,40,11.0,2019-04-02 02:00:00
2004,50,13.0,2019-04-02 02:00:00
2006,18,11.0,2019-04-02 02:00:00
2011,8,6.0,2019-04-02 02:00:00
2017,47,6.0,2019-04-02 02:00:00
2021,48,8.0,2019-04-02 02:00:00
2026,24,1.0,2019-04-02 02:00:00
2030,38,7.0,2019-04-02 02:00:00
