,estacion,concentracion,dt
2316,24,52.16,2019-04-02 06:00:00
2320,58,18.23,2019-04-02 06:00:00
2322,60,54.03,2019-04-02 06:00:00
2330,16,16.78,2019-04-02 06:00:00
2331,39,42.13,2019-04-02 06:00:00
2344,54,37.52,2019-04-02 06:00:00
2350,49,18.04,2019-04-02 06:00:00
2370,24,45.53,2019-04-02 07:00:00
2374,58,10.91,2019-04-02 07:00:00
2378,60,41.21,2019-04-02 07:00:00
2387,39,42.33,2019-04-02 07:00:00
2397,18,44.19,2019-04-02 07:00:00
2399,27,2.42,2019-04-02 07:00:00
2401,17,9.49,2019-04-02 07:00:00
2403,8,9.53,2019-04-02 07:00:00
2408,54,13.91,2019-04-02 07:00:00
2413,16,2.02,2019-04-02 07:00:00
2420,49,8.82,2019-04-02 07:00:00
2423,56,21.06,2019-04-02 07:00:00
2424,35,34.47,2019-04-02 07:00:00
2428,59,10.83,2019-04-02 07:00:00
2432,58,2.88,2019-04-02 08:00:00
2433,17,3.55,2019-04-02 08:00:00
2434,18,8.18,2019-04-02 08:00:00
2436,54,1.99,2019-04-02 08:00:00
2445,49,6.81,2019-04-02 08:00:00
2447,59,1.0,2019-04-02 08:00:00
2448,60,8.92,2019-04-02 08:00:00
2449,35,25.15,2019-04-02 08:00:00
2452,16,3.61,2019-04-02 08:00:00
2453,24,23.89,2019-04-02 08:00:00
2457,39,15.48,2019-04-02 08:00:00
2473,8,7.77,2019-04-02 08:00:00
2477,56,11.52,2019-04-02 08:00:00
2494,27,2.86,2019-04-02 08:00:00
2514,17,4.48,2019-04-02 09:00:00
2529,60,5.61,2019-04-02 09:00:00
2536,59,1.12,2019-04-02 09:00:00
2537,27,3.44,2019-04-02 09:00:00
2548,35,5.18,2019-04-02 09:00:00
2551,49,8.99,2019-04-02 09:00:00
2563,58,2.39,2019-04-02 09:00:00
2567,8,6.06,2019-04-02 09:00:00
2568,54,3.73,2019-04-02 09:00:00
2570,18,3.21,2019-04-02 09:00:00
2574,56,7.92,2019-04-02 09:00:00
2580,24,5.6,2019-04-02 09:00:00
2581,16,1.0,2019-04-02 09:00:00
2583,39,1.39,2019-04-02 09:00:00
2593,56,10.19,2019-04-02 10:00:00
