,estacion,concentracion,dt
2552,4,9.0,2019-04-02 09:00:00
2558,17,11.0,2019-04-02 09:00:00
2571,40,11.0,2019-04-02 09:00:00
2575,18,11.0,2019-04-02 09:00:00
2588,35,14.0,2019-04-02 10:00:00
2589,17,11.0,2019-04-02 10:00:00
2591,36,10.0,2019-04-02 10:00:00
2610,57,16.0,2019-04-02 10:00:00
2615,38,16.0,2019-04-02 10:00:00
2618,18,12.0,2019-04-02 10:00:00
2636,40,12.0,2019-04-02 10:00:00
2647,4,6.0,2019-04-02 10:00:00
2654,24,4.0,2019-04-02 10:00:00
2657,8,9.0,2019-04-02 10:00:00
2675,40,11.0,2019-04-02 11:00:00
2677,35,15.0,2019-04-02 11:00:00
2679,36,9.0,2019-04-02 11:00:00
2680,57,15.0,2019-04-02 11:00:00
2702,4,6.0,2019-04-02 11:00:00
2704,18,7.0,2019-04-02 11:00:00
2707,8,9.0,2019-04-02 11:00:00
2709,17,10.0,2019-04-02 11:00:00
2718,38,14.0,2019-04-02 11:00:00
2722,24,5.0,2019-04-02 11:00:00
2739,38,13.0,2019-04-02 12:00:00
2745,18,9.0,2019-04-02 12:00:00
2758,4,5.0,2019-04-02 12:00:00
2765,17,9.0,2019-04-02 12:00:00
2768,8,9.0,2019-04-02 12:00:00
2772,40,11.0,2019-04-02 12:00:00
2781,36,10.0,2019-04-02 12:00:00
2786,24,6.0,2019-04-02 12:00:00
2795,57,16.0,2019-04-02 12:00:00
2808,35,15.0,2019-04-02 12:00:00
2813,57,14.0,2019-04-02 13:00:00
2816,35,15.0,2019-04-02 13:00:00
2823,40,10.0,2019-04-02 13:00:00
2831,17,7.0,2019-04-02 13:00:00
2839,18,10.0,2019-04-02 13:00:00
2842,4,4.0,2019-04-02 13:00:00
2860,24,5.0,2019-04-02 13:00:00
2861,36,9.0,2019-04-02 13:00:00
2867,38,13.0,2019-04-02 13:00:00
2884,8,9.0,2019-04-02 13:00:00
2899,40,10.0,2019-04-02 14:00:00
2902,18,11.0,2019-04-02 14:00:00
2911,17,7.0,2019-04-02 14:00:00
2915,35,14.0,2019-04-02 14:00:00
2933,57,11.0,2019-04-02 14:00:00
2934,8,9.0,2019-04-02 14:00:00
2950,4,3.0,2019-04-02 14:00:00
2952,24,5.0,2019-04-02 14:00:00
2956,36,9.0,2019-04-02 14:00:00
2957,38,12.0,2019-04-02 14:00:00
2984,40,10.0,2019-04-02 15:00:00
2993,57,9.0,2019-04-02 15:00:00
2994,18,10.0,2019-04-02 15:00:00
2998,35,13.0,2019-04-02 15:00:00
3011,17,5.0,2019-04-02 15:00:00
3018,36,8.0,2019-04-02 15:00:00
3022,24,4.0,2019-04-02 15:00:00
3030,4,2.0,2019-04-02 15:00:00
3033,8,9.0,2019-04-02 15:00:00
3038,38,12.0,2019-04-02 15:00:00
3041,4,2.0,2019-04-02 16:00:00
3046,24,4.0,2019-04-02 16:00:00
3053,17,5.0,2019-04-02 16:00:00
3057,35,13.0,2019-04-02 16:00:00
3063,18,10.0,2019-04-02 16:00:00
3069,57,8.0,2019-04-02 16:00:00
3080,38,12.0,2019-04-02 16:00:00
3083,8,8.0,2019-04-02 16:00:00
3084,40,10.0,2019-04-02 16:00:00
3097,36,7.0,2019-04-02 16:00:00
3120,24,4.0,2019-04-02 17:00:00
3122,4,2.0,2019-04-02 17:00:00
3129,36,11.0,2019-04-02 17:00:00
3130,40,9.0,2019-04-02 17:00:00
3152,8,8.0,2019-04-02 17:00:00
3153,57,9.0,2019-04-02 17:00:00
3166,35,13.0,2019-04-02 17:00:00
3180,18,9.0,2019-04-02 17:00:00
3184,17,6.0,2019-04-02 17:00:00
3191,38,11.0,2019-04-02 17:00:00
3196,8,8.0,2019-04-02 18:00:00
3200,36,9.0,2019-04-02 18:00:00
3215,17,6.0,2019-04-02 18:00:00
3216,38,12.0,2019-04-02 18:00:00
3228,35,13.0,2019-04-02 18:00:00
3238,4,2.0,2019-04-02 18:00:00
3246,40,10.0,2019-04-02 18:00:00
3249,24,4.0,2019-04-02 18:00:00
3257,18,10.0,2019-04-02 18:00:00
3263,57,9.0,2019-04-02 18:00:00
3268,35,13.0,2019-04-02 19:00:00
3269,36,8.0,2019-04-02 19:00:00
3276,18,10.0,2019-04-02 19:00:00
