,estacion,concentracion,dt
1290,16,34.0,2019-04-01 16:00:00
1295,55,19.0,2019-04-01 17:00:00
1300,11,55.0,2019-04-01 17:00:00
1301,27,18.0,2019-04-01 17:00:00
1302,16,33.0,2019-04-01 17:00:00
1304,47,21.0,2019-04-01 17:00:00
1307,18,31.0,2019-04-01 17:00:00
1309,56,56.0,2019-04-01 17:00:00
1312,50,44.0,2019-04-01 17:00:00
1314,49,20.0,2019-04-01 17:00:00
1323,24,24.0,2019-04-01 17:00:00
1325,48,37.0,2019-04-01 17:00:00
1327,17,17.0,2019-04-01 17:00:00
1328,54,22.0,2019-04-01 17:00:00
1335,4,33.0,2019-04-01 17:00:00
1337,60,41.0,2019-04-01 17:00:00
1340,57,38.0,2019-04-01 17:00:00
1346,39,46.0,2019-04-01 17:00:00
1352,58,24.0,2019-04-01 17:00:00
1354,40,25.0,2019-04-01 17:00:00
1356,38,41.0,2019-04-01 17:00:00
1357,59,17.0,2019-04-01 17:00:00
1360,8,52.0,2019-04-01 17:00:00
1362,36,34.0,2019-04-01 17:00:00
1363,35,21.0,2019-04-01 17:00:00
1368,11,57.0,2019-04-01 18:00:00
1372,56,58.0,2019-04-01 18:00:00
1375,27,19.0,2019-04-01 18:00:00
1376,40,28.0,2019-04-01 18:00:00
1384,4,36.0,2019-04-01 18:00:00
1392,47,18.0,2019-04-01 18:00:00
1393,58,25.0,2019-04-01 18:00:00
1394,39,40.0,2019-04-01 18:00:00
1397,24,20.0,2019-04-01 18:00:00
1402,54,17.0,2019-04-01 18:00:00
1404,59,20.0,2019-04-01 18:00:00
1405,35,18.0,2019-04-01 18:00:00
1408,36,27.0,2019-04-01 18:00:00
1411,38,33.0,2019-04-01 18:00:00
1412,60,40.0,2019-04-01 18:00:00
1415,48,37.0,2019-04-01 18:00:00
1417,55,23.0,2019-04-01 18:00:00
1418,8,50.0,2019-04-01 18:00:00
1424,50,32.0,2019-04-01 18:00:00
1425,18,26.0,2019-04-01 18:00:00
1426,17,18.0,2019-04-01 18:00:00
1430,49,17.0,2019-04-01 18:00:00
1433,57,36.0,2019-04-01 18:00:00
1441,16,41.0,2019-04-01 18:00:00
1446,18,25.0,2019-04-01 19:00:00
