dt,estacion,concentracion
2019-01-01 20:00:00,56,3.18
2019-01-01 20:00:00,35,7.63
2019-01-01 20:00:00,17,7.5
2019-01-01 20:00:00,8,4.49
2019-01-01 20:00:00,16,3.64
2019-01-01 20:00:00,27,2.52
2019-01-01 21:00:00,24,2.87
2019-01-01 21:00:00,60,3.83
2019-01-01 21:00:00,16,2.96
2019-01-01 21:00:00,27,2.7
2019-01-01 21:00:00,17,7.5
2019-01-01 21:00:00,18,1.6
2019-01-01 21:00:00,49,1.76
2019-01-01 21:00:00,59,1.0
2019-01-01 21:00:00,8,3.67
2019-01-01 21:00:00,58,4.33
2019-01-01 21:00:00,35,7.02
2019-01-01 21:00:00,39,2.25
2019-01-01 21:00:00,56,3.13
2019-01-01 22:00:00,27,2.94
2019-01-01 22:00:00,18,1.44
2019-01-01 22:00:00,58,6.22
2019-01-01 22:00:00,24,2.71
2019-01-01 22:00:00,59,0.94
2019-01-01 22:00:00,39,2.24
2019-01-01 22:00:00,16,2.71
2019-01-01 22:00:00,60,3.29
2019-01-01 22:00:00,8,4.23
2019-01-01 22:00:00,35,7.22
2019-01-01 22:00:00,17,7.44
2019-01-01 22:00:00,56,3.29
2019-01-01 22:00:00,49,1.94
2019-01-01 23:00:00,39,1.97
2019-01-01 23:00:00,35,7.1
2019-01-01 23:00:00,18,1.1
2019-01-01 23:00:00,59,1.0
2019-01-01 23:00:00,17,7.03
2019-01-01 23:00:00,60,3.05
2019-01-01 23:00:00,8,3.89
2019-01-01 23:00:00,16,2.34
2019-01-01 23:00:00,49,2.12
2019-01-01 23:00:00,56,3.3
2019-01-01 23:00:00,27,2.83
2019-01-01 23:00:00,58,3.7
2019-01-01 23:00:00,24,3.24
2019-01-02 00:00:00,60,16.13
2019-01-02 00:00:00,59,1.0
2019-01-02 00:00:00,18,1.33
2019-01-02 00:00:00,16,7.82
2019-01-02 00:00:00,17,7.06
2019-01-02 00:00:00,58,8.85
2019-01-02 00:00:00,27,3.13
2019-01-02 00:00:00,8,10.3
2019-01-02 00:00:00,49,9.39
2019-01-02 00:00:00,56,3.27
2019-01-02 00:00:00,35,16.77
2019-01-02 00:00:00,24,3.14
2019-01-02 00:00:00,39,16.55
2019-01-02 01:00:00,49,2.26
2019-01-02 01:00:00,24,2.95
2019-01-02 01:00:00,39,2.09
2019-01-02 01:00:00,18,1.06
2019-01-02 01:00:00,56,3.03
2019-01-02 01:00:00,17,6.71
2019-01-02 01:00:00,59,1.73
2019-01-02 01:00:00,35,6.49
2019-01-02 01:00:00,58,8.13
2019-01-02 01:00:00,60,2.67
2019-01-02 01:00:00,16,2.5
2019-01-02 01:00:00,27,2.66
2019-01-02 01:00:00,8,4.01
2019-01-02 02:00:00,56,3.07
2019-01-02 02:00:00,60,2.79
2019-01-02 02:00:00,24,4.91
2019-01-02 02:00:00,49,2.07
2019-01-02 02:00:00,18,1.19
2019-01-02 02:00:00,59,1.0
2019-01-02 02:00:00,35,6.71
2019-01-02 02:00:00,39,2.0
2019-01-02 02:00:00,27,2.23
2019-01-02 02:00:00,17,6.48
2019-01-02 02:00:00,58,4.43
2019-01-02 02:00:00,16,2.36
2019-01-02 02:00:00,8,3.86
2019-01-02 03:00:00,16,3.99
2019-01-02 03:00:00,39,1.86
2019-01-02 03:00:00,58,5.22
2019-01-02 03:00:00,49,1.59
2019-01-02 03:00:00,24,2.57
2019-01-02 03:00:00,17,7.15
2019-01-02 03:00:00,18,1.21
2019-01-02 03:00:00,35,6.41
2019-01-02 03:00:00,59,1.0
2019-01-02 03:00:00,56,2.98
2019-01-02 03:00:00,60,2.47
2019-01-02 03:00:00,27,2.01
2019-01-02 03:00:00,8,3.9
2019-01-02 04:00:00,58,10.54
2019-01-02 04:00:00,18,1.2
2019-01-02 04:00:00,35,6.62
2019-01-02 04:00:00,27,1.56
2019-01-02 04:00:00,24,2.6
2019-01-02 04:00:00,59,1.0
2019-01-02 04:00:00,8,5.49
2019-01-02 04:00:00,39,1.8
2019-01-02 04:00:00,16,7.07
2019-01-02 04:00:00,56,2.94
2019-01-02 04:00:00,60,2.82
2019-01-02 04:00:00,17,6.71
2019-01-02 04:00:00,49,1.33
2019-01-02 05:00:00,59,1.0
2019-01-02 05:00:00,35,6.7
2019-01-02 05:00:00,16,13.49
2019-01-02 05:00:00,60,2.62
2019-01-02 05:00:00,24,2.38
2019-01-02 05:00:00,58,6.21
2019-01-02 05:00:00,27,1.34
2019-01-02 05:00:00,8,6.69
2019-01-02 05:00:00,56,2.96
2019-01-02 05:00:00,18,1.14
2019-01-02 05:00:00,39,1.65
2019-01-02 05:00:00,49,1.28
2019-01-02 05:00:00,17,6.65
2019-01-02 06:00:00,56,2.76
2019-01-02 06:00:00,59,1.0
2019-01-02 06:00:00,49,3.84
2019-01-02 06:00:00,58,11.58
2019-01-02 06:00:00,60,2.71
2019-01-02 06:00:00,39,1.65
2019-01-02 06:00:00,35,6.45
2019-01-02 06:00:00,17,6.51
2019-01-02 06:00:00,27,1.28
2019-01-02 06:00:00,8,6.4
2019-01-02 06:00:00,18,0.94
2019-01-02 06:00:00,24,2.55
2019-01-02 06:00:00,16,2.7
2019-01-02 07:00:00,49,1.75
2019-01-02 07:00:00,24,2.31
2019-01-02 07:00:00,27,1.43
2019-01-02 07:00:00,18,1.11
2019-01-02 07:00:00,56,2.88
2019-01-02 07:00:00,35,6.61
2019-01-02 07:00:00,17,6.35
2019-01-02 07:00:00,16,1.92
2019-01-02 07:00:00,58,10.1
2019-01-02 07:00:00,59,1.0
2019-01-02 07:00:00,60,2.61
2019-01-02 07:00:00,39,1.5
2019-01-02 07:00:00,8,4.99
2019-01-02 08:00:00,60,2.71
2019-01-02 08:00:00,18,0.99
2019-01-02 08:00:00,16,1.87
2019-01-02 08:00:00,58,7.0
2019-01-02 08:00:00,59,1.0
2019-01-02 08:00:00,17,6.48
2019-01-02 08:00:00,39,1.37
2019-01-02 08:00:00,35,6.75
2019-01-02 08:00:00,49,1.57
2019-01-02 08:00:00,24,4.36
2019-01-02 08:00:00,56,2.8
2019-01-02 08:00:00,8,3.79
2019-01-02 08:00:00,27,1.63
2019-01-02 09:00:00,24,3.62
2019-01-02 09:00:00,27,1.44
2019-01-02 09:00:00,8,4.34
2019-01-02 09:00:00,18,1.37
2019-01-02 09:00:00,56,2.85
2019-01-02 09:00:00,39,1.54
2019-01-02 09:00:00,49,1.94
2019-01-02 09:00:00,17,6.23
2019-01-02 09:00:00,35,6.8
2019-01-02 09:00:00,59,1.0
2019-01-02 09:00:00,16,1.95
2019-01-02 09:00:00,58,11.41
2019-01-02 09:00:00,60,2.26
2019-01-02 10:00:00,49,2.28
2019-01-02 10:00:00,35,7.14
2019-01-02 10:00:00,24,4.33
2019-01-02 10:00:00,17,6.46
2019-01-02 10:00:00,27,2.84
2019-01-02 10:00:00,59,3.09
2019-01-02 10:00:00,56,3.55
2019-01-02 10:00:00,58,4.73
2019-01-02 10:00:00,8,5.29
2019-01-02 10:00:00,18,2.15
2019-01-02 10:00:00,16,2.68
2019-01-02 10:00:00,39,1.78
2019-01-02 10:00:00,60,3.52
2019-01-02 11:00:00,8,13.85
2019-01-02 11:00:00,56,5.74
2019-01-02 11:00:00,17,7.12
2019-01-02 11:00:00,35,7.89
2019-01-02 11:00:00,27,11.81
2019-01-02 11:00:00,39,3.53
2019-01-02 11:00:00,24,6.67
2019-01-02 11:00:00,18,4.18
2019-01-02 11:00:00,58,18.71
2019-01-02 11:00:00,59,15.67
2019-01-02 11:00:00,60,8.4
2019-01-02 11:00:00,49,4.56
2019-01-02 11:00:00,16,5.96
2019-01-02 12:00:00,49,10.52
2019-01-02 12:00:00,24,10.08
2019-01-02 12:00:00,60,19.56
2019-01-02 12:00:00,58,13.08
2019-01-02 12:00:00,27,19.01
2019-01-02 12:00:00,35,9.64
2019-01-02 12:00:00,17,8.66
2019-01-02 12:00:00,16,14.53
2019-01-02 12:00:00,8,19.19
2019-01-02 12:00:00,18,7.36
2019-01-02 12:00:00,59,27.25
2019-01-02 12:00:00,39,11.33
2019-01-02 12:00:00,56,8.68
2019-01-02 13:00:00,8,21.01
2019-01-02 13:00:00,18,9.56
2019-01-02 13:00:00,39,19.09
2019-01-02 13:00:00,17,10.79
2019-01-02 13:00:00,58,32.21
2019-01-02 13:00:00,16,31.43
2019-01-02 13:00:00,59,35.58
2019-01-02 13:00:00,35,11.31
2019-01-02 13:00:00,24,14.01
2019-01-02 13:00:00,49,16.68
2019-01-02 13:00:00,60,21.68
2019-01-02 13:00:00,27,23.68
2019-01-02 13:00:00,56,11.5
2019-01-02 14:00:00,16,36.03
2019-01-02 14:00:00,58,43.08
2019-01-02 14:00:00,56,13.29
2019-01-02 14:00:00,17,17.03
2019-01-02 14:00:00,60,28.85
2019-01-02 14:00:00,27,20.83
2019-01-02 14:00:00,8,19.64
2019-01-02 14:00:00,39,26.5
2019-01-02 14:00:00,18,12.84
2019-01-02 14:00:00,59,39.37
2019-01-02 14:00:00,49,8.66
2019-01-02 14:00:00,24,19.41
2019-01-02 14:00:00,35,13.16
2019-01-02 15:00:00,58,52.85
2019-01-02 15:00:00,18,14.05
2019-01-02 15:00:00,16,26.88
2019-01-02 15:00:00,8,13.33
2019-01-02 15:00:00,27,37.32
2019-01-02 15:00:00,17,16.43
2019-01-02 15:00:00,49,6.31
2019-01-02 15:00:00,60,30.22
2019-01-02 15:00:00,39,24.68
2019-01-02 15:00:00,24,27.35
2019-01-02 15:00:00,59,40.06
2019-01-02 15:00:00,56,16.0
2019-01-02 15:00:00,35,15.44
2019-01-02 16:00:00,39,28.64
2019-01-02 16:00:00,49,8.88
2019-01-02 16:00:00,56,17.99
2019-01-02 16:00:00,24,26.77
2019-01-02 16:00:00,60,38.91
2019-01-02 16:00:00,58,40.78
2019-01-02 16:00:00,8,19.74
2019-01-02 16:00:00,59,29.88
2019-01-02 16:00:00,17,15.17
2019-01-02 16:00:00,35,22.78
2019-01-02 16:00:00,18,17.24
2019-01-02 16:00:00,16,10.16
2019-01-02 16:00:00,27,30.02
2019-01-02 17:00:00,17,12.01
2019-01-02 17:00:00,24,39.02
2019-01-02 17:00:00,59,18.69
2019-01-02 17:00:00,39,14.85
2019-01-02 17:00:00,18,18.8
2019-01-02 17:00:00,58,29.34
2019-01-02 17:00:00,35,24.32
2019-01-02 17:00:00,8,14.52
2019-01-02 17:00:00,56,17.83
2019-01-02 17:00:00,60,24.83
